city,state,population
Carmichael,California,63631
Cedar Park,Texas,63551
Montebello,California,63416
Madera,California,63398
Florence-Graham,California,63390
Santa Cruz,California,63310
Eden Prairie,Minnesota,63206
West Hartford,Connecticut,63187
Mansfield,Texas,63141
Alpharetta,Georgia,63013
Cheyenne,Wyoming,62879
Castro Valley,California,62825
Bowling Green,Kentucky,62824
Greenville,South Carolina,62776
South Jordan,Utah,62751
Waltham,Massachusetts,62699
Bethesda,Maryland,62608
Broomfield,Colorado,62449
Haverhill,Massachusetts,62340
Dundalk,Maryland,62337
Council Bluffs,Iowa,62326
Hamilton,Ohio,62259
Encinitas,California,62160
Coon Rapids,Minnesota,62159
North Miami,Florida,62158
Poinciana,Florida,62145
Sammamish,Washington,62136
Rogers,Arkansas,61979
Taylor,Michigan,61716
Tulare,California,61664
La Habra,California,61660
West Des Moines,Iowa,61624
Brentwood,New York,61438
Wellington,Florida,61371
Utica,New York,61337
Blaine,Minnesota,61210
Millcreek,Utah,61191
Burnsville,Minnesota,61158
Terre Haute,Indiana,61021
Monterey Park,California,61001
Vineland,New Jersey,60876
North Port,Florida,60871
Malden,Massachusetts,60732
Grand Junction,Colorado,60630
Springfield,Oregon,60611
Jupiter,Florida,60597
West Allis,Wisconsin,60543
Rocklin,California,60509
Taylorsville,Utah,60448
Bristol,Connecticut,60437
National City,California,60349
Auburn,Alabama,60318
Cupertino,California,60297
Palm Harbor,Florida,60236
Lake Elsinore,California,60230
Meriden,Connecticut,60203
Reston,Virginia,60070
Pontiac,Michigan,59920
St. Clair Shores,Michigan,59916
Gardena,California,59898
Lakeville,Minnesota,59786
Springfield,Ohio,59761
Petaluma,California,59757
Marietta,Georgia,59714
Moore,Oklahoma,59501
Lakewood,Washington,59489
Great Falls,Montana,59479
Georgetown,Texas,59436
Casper,Wyoming,59397
Lancaster,Pennsylvania,59341
South Whittier,California,59313
Buckeye,Arizona,59310
Redmond,Washington,59268
Kendale Lakes,Florida,59217
Rowlett,Texas,59203
Brookline,Massachusetts,59180
La Mesa,California,59125
Chapel Hill,North Carolina,59005
San Rafael,California,58948
Idaho Falls,Idaho,58933
Huntington Park,California,58921
Royal Oak,Michigan,58823
Port Orange,Florida,58780
Des Plaines,Illinois,58755
Noblesville,Indiana,58719
Owensboro,Kentucky,58685
Orland Park,Illinois,58612
Spring,Texas,58608
Dubuque,Iowa,58535
Porterville,California,58472
Bartlett,Tennessee,58318
Novi,Michigan,58233
Eastvale,California,58217
Towson,Maryland,58189
Kokomo,Indiana,58075
Port Charlotte,Florida,58001
White Plains,New York,57925
Ocala,Florida,57873
Tonawanda,New York,57844
Tamiami,Florida,57796
Arcadia,California,57755
San Marcos,Texas,57743
Coconut Creek,Florida,57731
Bowie,Maryland,57633
Woodland,California,57552
Fountainebleau,Florida,57357
Medford,Massachusetts,57180
Tinley Park,Illinois,57125
Sanford,Florida,57039
Midwest City,Oklahoma,56930
Brentwood,California,56923
Santee,California,56839
Oak Lawn,Illinois,56774
Valdosta,Georgia,56717
Fountain Valley,California,56670
Taunton,Massachusetts,56504
Diamond Bar,California,56456
New Brunswick,New Jersey,56427
Berwyn,Illinois,56414
Dearborn Heights,Michigan,56329
Lehi,Utah,56314
Margate,Florida,56245
Rocky Mount,North Carolina,56175
The Hammocks,Florida,56105
Chicopee,Massachusetts,56100
Manhattan,Kansas,55909
Grand Forks,North Dakota,55831
St. Peters,Missouri,55820
Corvallis,Oregon,55766
Kettering,Ohio,55720
Pflugerville,Texas,55712
Weymouth Town,Massachusetts,55601
Hempstead,New York,55454
Decatur,Alabama,55419
Anderson,Indiana,55342
South Hill,Washington,55194
Hendersonville,Tennessee,55073
Shoreline,Washington,55021
West Haven,Connecticut,54972
Paramount,California,54941
Port Arthur,Texas,54913
Hanford,California,54912
Aloha,Oregon,54908
