iter	Passed	Remaining
762	16167	5021
763	16202	5005
764	16229	4985
765	16250	4964
766	16289	4948
767	16310	4927
768	16346	4910
769	16374	4891
770	16400	4871
771	16427	4851
772	16451	4831
773	16489	4814
774	16528	4798
775	16588	4788
776	16630	4773
777	16675	4758
778	16713	4741
779	16735	4720
780	16762	4700
781	16820	4689
782	16857	4671
783	16878	4650
784	16905	4630
785	16924	4607
786	16943	4585
787	16962	4563
788	16983	4541
789	17000	4519
790	17022	4497
791	17044	4476
792	17068	4455
793	17087	4433
794	17106	4411
795	17126	4389
796	17151	4368
797	17172	4346
798	17205	4328
799	17226	4306
800	17249	4285
801	17271	4264
802	17297	4243
803	17320	4222
804	17354	4203
805	17371	4181
806	17387	4158
807	17403	4135
808	17420	4112
809	17439	4090
810	17463	4069
811	17486	4048
812	17512	4028
813	17535	4006
814	17557	3985
815	17580	3964
816	17600	3942
817	17622	3920
818	17644	3899
819	17663	3877
820	17683	3855
821	17705	3833
822	17725	3812
823	17747	3790
824	17773	3770
825	17793	3748
826	17813	3726
827	17839	3705
828	17860	3684
829	17885	3663
830	17906	3641
831	17925	3619
832	17945	3597
833	17968	3576
834	17989	3554
835	18008	3532
836	18029	3511
837	18053	3490
838	18072	3468
839	18092	3446
840	18109	3423
841	18127	3401
842	18149	3380
843	18169	3358
844	18187	3336
845	18206	3314
846	18224	3292
847	18243	3270
848	18267	3248
849	18285	3226
850	18302	3204
851	18318	3182
852	18334	3159
853	18350	3137
854	18365	3114
855	18380	3092
856	18395	3069
857	18409	3046
858	18426	3024
859	18441	3002
860	18456	2979
861	18473	2957
862	18490	2935
863	18506	2913
864	18529	2891
865	18549	2870
866	18568	2848
867	18588	2826
868	18607	2804
869	18631	2784
870	18650	2762
871	18671	2740
872	18695	2719
873	18717	2698
874	18736	2676
875	18763	2656
876	18791	2635
877	18811	2613
878	18829	2592
879	18845	2569
880	18860	2547
881	18875	2525
882	18890	2503
883	18906	2481
884	18921	2458
885	18934	2436
886	18951	2414
887	18968	2392
888	18984	2370
889	18999	2348
890	19016	2326
891	19032	2304
892	19047	2282
893	19063	2260
894	19078	2238
895	19093	2216
896	19109	2194
897	19124	2172
898	19139	2150
899	19155	2128
900	19174	2106
901	19192	2085
902	19213	2063
903	19240	2043
904	19261	2021
905	19281	2000
906	19307	1979
907	19328	1958
908	19348	1936
909	19372	1915
910	19391	1894
911	19410	1872
912	19430	1851
913	19451	1830
914	19471	1808
915	19488	1787
916	19506	1765
917	19526	1744
918	19546	1722
919	19570	1701
920	19590	1680
921	19609	1658
922	19628	1637
923	19646	1615
924	19667	1594
925	19684	1573
926	19702	1551
927	19721	1530
928	19739	1508
929	19758	1487
930	19775	1465
931	19791	1444
932	19810	1422
933	19832	1401
934	19851	1380
935	19868	1358
936	19885	1337
937	19900	1315
938	19916	1293
939	19932	1272
940	19948	1250
941	19964	1229
942	19979	1207
943	19999	1186
944	20014	1164
945	20030	1143
946	20048	1122
947	20063	1100
948	20078	1079
949	20094	1057
950	20110	1036
951	20127	1014
952	20143	993
953	20159	972
954	20175	950
955	20190	929
956	20207	907
957	20222	886
958	20237	865
959	20250	843
960	20266	822
961	20280	801
962	20295	779
963	20311	758
964	20327	737
965	20357	716
966	20376	695
967	20393	674
968	20413	653
969	20431	631
970	20454	610
971	20471	589
972	20489	568
973	20507	547
974	20524	526
975	20542	505
976	20561	484
977	20578	462
978	20596	441
979	20615	420
980	20636	399
981	20655	378
982	20672	357
983	20690	336
984	20709	315
985	20727	294
986	20744	273
987	20768	252
988	20788	231
989	20807	210
990	20826	189
991	20850	168
992	20867	147
993	20886	126
994	20904	105
995	20925	84
996	20950	63
997	20966	42
998	20990	21
999	21009	0
